video_id,video_url,timestamp_url,question_number,start_time,end_time,question
-lS_YGR9ESo,https://www.youtube.com/watch?v=-lS_YGR9ESo,https://www.youtube.com/watch?v=-lS_YGR9ESo&t=0,1,0,186,राधा नाम
-lS_YGR9ESo,https://www.youtube.com/watch?v=-lS_YGR9ESo,https://www.youtube.com/watch?v=-lS_YGR9ESo&t=186,2,186,738,"काम क्रोध सताता है, मान-सम्मान की भी चाह है, क्या करूं?"
-lS_YGR9ESo,https://www.youtube.com/watch?v=-lS_YGR9ESo,https://www.youtube.com/watch?v=-lS_YGR9ESo&t=738,3,738,873,विपत्ति आने पर मन विचलित-सा हो जाता है।
-lS_YGR9ESo,https://www.youtube.com/watch?v=-lS_YGR9ESo,https://www.youtube.com/watch?v=-lS_YGR9ESo&t=873,4,873,1001,कैसे पता चलेगा कि हमें भगवत्-प्राप्ति होने वाली है?
-lS_YGR9ESo,https://www.youtube.com/watch?v=-lS_YGR9ESo,https://www.youtube.com/watch?v=-lS_YGR9ESo&t=1001,5,1001,1159,क्या नाम और वाणी जी से भी मन का योग प्राप्त हो जाएगा?
-lS_YGR9ESo,https://www.youtube.com/watch?v=-lS_YGR9ESo,https://www.youtube.com/watch?v=-lS_YGR9ESo&t=1159,6,1159,1313,असली सुख कहां छिपा हुआ है?
-lS_YGR9ESo,https://www.youtube.com/watch?v=-lS_YGR9ESo,https://www.youtube.com/watch?v=-lS_YGR9ESo&t=1313,7,1313,1538,"अगर सब में भगवान ही विराजमान हैं, तो फिर लोगों से आसक्ति बंधन का कारण क्यों है?"
-lS_YGR9ESo,https://www.youtube.com/watch?v=-lS_YGR9ESo,https://www.youtube.com/watch?v=-lS_YGR9ESo&t=1538,8,1538,1832,"बहुत समय से प्रयास भी कर रहे हों, पर फिर भी जो चाह रहे हों वह न मिले, तो क्या करें?"
_ynawxVezT4,https://www.youtube.com/watch?v=_ynawxVezT4,https://www.youtube.com/watch?v=_ynawxVezT4&t=0,1,0,329,"हर महान भक्त को कष्ट सहना पड़ा, पर मुझे तो सब अनुकूलता प्राप्त है।"
_ynawxVezT4,https://www.youtube.com/watch?v=_ynawxVezT4,https://www.youtube.com/watch?v=_ynawxVezT4&t=329,2,329,403,साधक को कैसे पता चले कि उसके द्वारा की गई क्रिया आश्रय प्रधान है या साधन प्रधान?
